Month,Real_GDP
11/30/2022,20.25
10/31/2022,20.16
9/30/2022,20.07
8/31/2022,20.2
7/31/2022,19.9
6/30/2022,19.91
5/31/2022,19.92
4/30/2022,19.86
3/31/2022,19.94
2/28/2022,19.94
1/31/2022,19.91
12/31/2021,20.04
11/30/2021,19.98
10/31/2021,20.01
9/30/2021,19.76
8/31/2021,19.7
7/31/2021,19.56
6/30/2021,19.6
5/31/2021,19.58
4/30/2021,19.45
3/31/2021,19.44
2/28/2021,18.99
1/31/2021,19.22
12/31/2020,18.87
11/30/2020,18.85
10/31/2020,19.06
9/30/2020,18.96
8/31/2020,18.73
7/31/2020,18.33
6/30/2020,18.16
5/31/2020,17.18
4/30/2020,16.44
3/31/2020,18.28
2/29/2020,19.35
1/31/2020,19.22
12/31/2019,19.22
11/30/2019,19.22
10/31/2019,19.16
9/30/2019,19.14
8/31/2019,19.11
7/31/2019,19.09
6/30/2019,19.07
5/31/2019,18.96
4/30/2019,18.91
3/31/2019,18.83
2/28/2019,18.82
1/31/2019,18.85
12/31/2018,18.75
11/30/2018,18.67
10/31/2018,18.75
